noisePerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
0.00,0.0010,69,137,54.0735,60.7436
0.00,0.0250,328,655,58.2268,74.6425
0.00,0.0500,399,797,58.3067,77.2355
0.00,0.0750,531,1061,58.5463,82.4023
0.00,0.1000,672,1343,58.7859,86.654
0.00,0.1250,701,1401,58.7061,87.531
0.00,0.1500,728,1455,58.9457,88.1411
0.00,0.1750,748,1495,59.1853,88.5796
0.00,0.2000,789,1577,59.1054,89.3613
0.00,0.2250,811,1621,59.1054,89.7617
0.00,0.2500,820,1639,59.0256,89.9333
0.00,0.2750,826,1651,59.0256,90.0477
0.00,0.3000,830,1659,59.1054,90.1239
0.00,0.3250,830,1659,59.1054,90.1239
0.00,0.3500,837,1673,59.1853,90.2383
0.00,0.3750,838,1675,59.2652,90.2574
0.00,0.4000,838,1675,59.2652,90.2574
0.00,0.4250,841,1681,59.1054,90.2955
0.00,0.4500,844,1687,59.0256,90.3337
0.00,0.4750,850,1699,59.1054,90.4099
0.00,0.5000,850,1699,59.1054,90.4099
0.05,0.0010,69,137,54.0735,60.7436
0.05,0.0250,328,655,58.2268,74.6425
0.05,0.0500,399,797,58.3067,77.2355
0.05,0.0750,531,1061,58.5463,82.4023
0.05,0.1000,672,1343,58.7859,86.654
0.05,0.1250,701,1401,58.7061,87.531
0.05,0.1500,728,1455,58.9457,88.1411
0.05,0.1750,748,1495,59.1853,88.5796
0.05,0.2000,789,1577,59.1054,89.3613
0.05,0.2250,811,1621,59.1054,89.7617
0.05,0.2500,820,1639,59.0256,89.9333
0.05,0.2750,826,1651,59.0256,90.0477
0.05,0.3000,830,1659,59.1054,90.1239
0.05,0.3250,830,1659,59.1054,90.1239
0.05,0.3500,837,1673,59.1853,90.2383
0.05,0.3750,838,1675,59.2652,90.2574
0.05,0.4000,838,1675,59.2652,90.2574
0.05,0.4250,841,1681,59.1054,90.2955
0.05,0.4500,844,1687,59.0256,90.3337
0.05,0.4750,850,1699,59.1054,90.4099
0.05,0.5000,850,1699,59.1054,90.4099
0.10,0.0010,69,137,54.0735,60.7436
0.10,0.0250,328,655,58.2268,74.6425
0.10,0.0500,399,797,58.3067,77.2355
0.10,0.0750,531,1061,58.5463,82.4023
0.10,0.1000,672,1343,58.7859,86.654
0.10,0.1250,701,1401,58.7061,87.531
0.10,0.1500,728,1455,58.9457,88.1411
0.10,0.1750,748,1495,59.1853,88.5796
0.10,0.2000,789,1577,59.1054,89.3613
0.10,0.2250,811,1621,59.1054,89.7617
0.10,0.2500,820,1639,59.0256,89.9333
0.10,0.2750,826,1651,59.0256,90.0477
0.10,0.3000,830,1659,59.1054,90.1239
0.10,0.3250,830,1659,59.1054,90.1239
0.10,0.3500,837,1673,59.1853,90.2383
0.10,0.3750,838,1675,59.2652,90.2574
0.10,0.4000,838,1675,59.2652,90.2574
0.10,0.4250,841,1681,59.1054,90.2955
0.10,0.4500,844,1687,59.0256,90.3337
0.10,0.4750,850,1699,59.1054,90.4099
0.10,0.5000,850,1699,59.1054,90.4099
0.15,0.0010,69,137,54.0735,60.7436
0.15,0.0250,328,655,58.2268,74.6425
0.15,0.0500,399,797,58.3067,77.2355
0.15,0.0750,531,1061,58.5463,82.4023
0.15,0.1000,672,1343,58.7859,86.654
0.15,0.1250,701,1401,58.7061,87.531
0.15,0.1500,728,1455,58.9457,88.1411
0.15,0.1750,748,1495,59.1853,88.5796
0.15,0.2000,789,1577,59.1054,89.3613
0.15,0.2250,811,1621,59.1054,89.7617
0.15,0.2500,820,1639,59.0256,89.9333
0.15,0.2750,826,1651,59.0256,90.0477
0.15,0.3000,830,1659,59.1054,90.1239
0.15,0.3250,830,1659,59.1054,90.1239
0.15,0.3500,837,1673,59.1853,90.2383
0.15,0.3750,838,1675,59.2652,90.2574
0.15,0.4000,838,1675,59.2652,90.2574
0.15,0.4250,841,1681,59.1054,90.2955
0.15,0.4500,844,1687,59.0256,90.3337
0.15,0.4750,850,1699,59.1054,90.4099
0.15,0.5000,850,1699,59.1054,90.4099
0.20,0.0010,69,137,54.0735,60.7436
0.20,0.0250,328,655,58.2268,74.6425
0.20,0.0500,399,797,58.3067,77.2355
0.20,0.0750,531,1061,58.5463,82.4023
0.20,0.1000,672,1343,58.7859,86.654
0.20,0.1250,701,1401,58.7061,87.531
0.20,0.1500,728,1455,58.9457,88.1411
0.20,0.1750,748,1495,59.1853,88.5796
0.20,0.2000,789,1577,59.1054,89.3613
0.20,0.2250,811,1621,59.1054,89.7617
0.20,0.2500,820,1639,59.0256,89.9333
0.20,0.2750,826,1651,59.0256,90.0477
0.20,0.3000,830,1659,59.1054,90.1239
0.20,0.3250,830,1659,59.1054,90.1239
0.20,0.3500,837,1673,59.1853,90.2383
0.20,0.3750,838,1675,59.2652,90.2574
0.20,0.4000,838,1675,59.2652,90.2574
0.20,0.4250,841,1681,59.1054,90.2955
0.20,0.4500,844,1687,59.0256,90.3337
0.20,0.4750,850,1699,59.1054,90.4099
0.20,0.5000,850,1699,59.1054,90.4099
0.25,0.0010,69,137,54.0735,60.7436
0.25,0.0250,328,655,58.2268,74.6425
0.25,0.0500,399,797,58.3067,77.2355
0.25,0.0750,531,1061,58.5463,82.4023
0.25,0.1000,672,1343,58.7859,86.654
0.25,0.1250,701,1401,58.7061,87.531
0.25,0.1500,728,1455,58.9457,88.1411
0.25,0.1750,748,1495,59.1853,88.5796
0.25,0.2000,789,1577,59.1054,89.3613
0.25,0.2250,811,1621,59.1054,89.7617
0.25,0.2500,820,1639,59.0256,89.9333
0.25,0.2750,826,1651,59.0256,90.0477
0.25,0.3000,830,1659,59.1054,90.1239
0.25,0.3250,830,1659,59.1054,90.1239
0.25,0.3500,837,1673,59.1853,90.2383
0.25,0.3750,838,1675,59.2652,90.2574
0.25,0.4000,838,1675,59.2652,90.2574
0.25,0.4250,841,1681,59.1054,90.2955
0.25,0.4500,844,1687,59.0256,90.3337
0.25,0.4750,850,1699,59.1054,90.4099
0.25,0.5000,850,1699,59.1054,90.4099
0.30,0.0010,69,137,54.0735,60.7436
0.30,0.0250,328,655,58.2268,74.6425
0.30,0.0500,399,797,58.3067,77.2355
0.30,0.0750,531,1061,58.5463,82.4023
0.30,0.1000,672,1343,58.7859,86.654
0.30,0.1250,701,1401,58.7061,87.531
0.30,0.1500,728,1455,58.9457,88.1411
0.30,0.1750,748,1495,59.1853,88.5796
0.30,0.2000,789,1577,59.1054,89.3613
0.30,0.2250,811,1621,59.1054,89.7617
0.30,0.2500,820,1639,59.0256,89.9333
0.30,0.2750,826,1651,59.0256,90.0477
0.30,0.3000,830,1659,59.1054,90.1239
0.30,0.3250,830,1659,59.1054,90.1239
0.30,0.3500,837,1673,59.1853,90.2383
0.30,0.3750,838,1675,59.2652,90.2574
0.30,0.4000,838,1675,59.2652,90.2574
0.30,0.4250,841,1681,59.1054,90.2955
0.30,0.4500,844,1687,59.0256,90.3337
0.30,0.4750,850,1699,59.1054,90.4099
0.30,0.5000,850,1699,59.1054,90.4099
0.35,0.0010,69,137,54.0735,60.7436
0.35,0.0250,328,655,58.2268,74.6425
0.35,0.0500,399,797,58.3067,77.2355
0.35,0.0750,531,1061,58.5463,82.4023
0.35,0.1000,672,1343,58.7859,86.654
0.35,0.1250,701,1401,58.7061,87.531
0.35,0.1500,728,1455,58.9457,88.1411
0.35,0.1750,748,1495,59.1853,88.5796
0.35,0.2000,789,1577,59.1054,89.3613
0.35,0.2250,811,1621,59.1054,89.7617
0.35,0.2500,820,1639,59.0256,89.9333
0.35,0.2750,826,1651,59.0256,90.0477
0.35,0.3000,830,1659,59.1054,90.1239
0.35,0.3250,830,1659,59.1054,90.1239
0.35,0.3500,837,1673,59.1853,90.2383
0.35,0.3750,838,1675,59.2652,90.2574
0.35,0.4000,838,1675,59.2652,90.2574
0.35,0.4250,841,1681,59.1054,90.2955
0.35,0.4500,844,1687,59.0256,90.3337
0.35,0.4750,850,1699,59.1054,90.4099
0.35,0.5000,850,1699,59.1054,90.4099
0.40,0.0010,69,137,54.0735,60.7436
0.40,0.0250,328,655,58.2268,74.6425
0.40,0.0500,399,797,58.3067,77.2355
0.40,0.0750,531,1061,58.5463,82.4023
0.40,0.1000,672,1343,58.7859,86.654
0.40,0.1250,701,1401,58.7061,87.531
0.40,0.1500,728,1455,58.9457,88.1411
0.40,0.1750,748,1495,59.1853,88.5796
0.40,0.2000,789,1577,59.1054,89.3613
0.40,0.2250,811,1621,59.1054,89.7617
0.40,0.2500,820,1639,59.0256,89.9333
0.40,0.2750,826,1651,59.0256,90.0477
0.40,0.3000,830,1659,59.1054,90.1239
0.40,0.3250,830,1659,59.1054,90.1239
0.40,0.3500,837,1673,59.1853,90.2383
0.40,0.3750,838,1675,59.2652,90.2574
0.40,0.4000,838,1675,59.2652,90.2574
0.40,0.4250,841,1681,59.1054,90.2955
0.40,0.4500,844,1687,59.0256,90.3337
0.40,0.4750,850,1699,59.1054,90.4099
0.40,0.5000,850,1699,59.1054,90.4099
0.45,0.0010,69,137,54.0735,60.7436
0.45,0.0250,328,655,58.2268,74.6425
0.45,0.0500,399,797,58.3067,77.2355
0.45,0.0750,531,1061,58.5463,82.4023
0.45,0.1000,672,1343,58.7859,86.654
0.45,0.1250,701,1401,58.7061,87.531
0.45,0.1500,728,1455,58.9457,88.1411
0.45,0.1750,748,1495,59.1853,88.5796
0.45,0.2000,789,1577,59.1054,89.3613
0.45,0.2250,811,1621,59.1054,89.7617
0.45,0.2500,820,1639,59.0256,89.9333
0.45,0.2750,826,1651,59.0256,90.0477
0.45,0.3000,830,1659,59.1054,90.1239
0.45,0.3250,830,1659,59.1054,90.1239
0.45,0.3500,837,1673,59.1853,90.2383
0.45,0.3750,838,1675,59.2652,90.2574
0.45,0.4000,838,1675,59.2652,90.2574
0.45,0.4250,841,1681,59.1054,90.2955
0.45,0.4500,844,1687,59.0256,90.3337
0.45,0.4750,850,1699,59.1054,90.4099
0.45,0.5000,850,1699,59.1054,90.4099
0.50,0.0010,69,137,54.0735,60.7436
0.50,0.0250,328,655,58.2268,74.6425
0.50,0.0500,399,797,58.3067,77.2355
0.50,0.0750,531,1061,58.5463,82.4023
0.50,0.1000,672,1343,58.7859,86.654
0.50,0.1250,701,1401,58.7061,87.531
0.50,0.1500,728,1455,58.9457,88.1411
0.50,0.1750,748,1495,59.1853,88.5796
0.50,0.2000,789,1577,59.1054,89.3613
0.50,0.2250,811,1621,59.1054,89.7617
0.50,0.2500,820,1639,59.0256,89.9333
0.50,0.2750,826,1651,59.0256,90.0477
0.50,0.3000,830,1659,59.1054,90.1239
0.50,0.3250,830,1659,59.1054,90.1239
0.50,0.3500,837,1673,59.1853,90.2383
0.50,0.3750,838,1675,59.2652,90.2574
0.50,0.4000,838,1675,59.2652,90.2574
0.50,0.4250,841,1681,59.1054,90.2955
0.50,0.4500,844,1687,59.0256,90.3337
0.50,0.4750,850,1699,59.1054,90.4099
0.50,0.5000,850,1699,59.1054,90.4099
0.55,0.0010,69,137,54.0735,60.7436
0.55,0.0250,328,655,58.2268,74.6425
0.55,0.0500,399,797,58.3067,77.2355
0.55,0.0750,531,1061,58.5463,82.4023
0.55,0.1000,672,1343,58.7859,86.654
0.55,0.1250,701,1401,58.7061,87.531
0.55,0.1500,728,1455,58.9457,88.1411
0.55,0.1750,748,1495,59.1853,88.5796
0.55,0.2000,789,1577,59.1054,89.3613
0.55,0.2250,811,1621,59.1054,89.7617
0.55,0.2500,820,1639,59.0256,89.9333
0.55,0.2750,826,1651,59.0256,90.0477
0.55,0.3000,830,1659,59.1054,90.1239
0.55,0.3250,830,1659,59.1054,90.1239
0.55,0.3500,837,1673,59.1853,90.2383
0.55,0.3750,838,1675,59.2652,90.2574
0.55,0.4000,838,1675,59.2652,90.2574
0.55,0.4250,841,1681,59.1054,90.2955
0.55,0.4500,844,1687,59.0256,90.3337
0.55,0.4750,850,1699,59.1054,90.4099
0.55,0.5000,850,1699,59.1054,90.4099
0.60,0.0010,69,137,54.0735,60.7436
0.60,0.0250,328,655,58.2268,74.6425
0.60,0.0500,399,797,58.3067,77.2355
0.60,0.0750,531,1061,58.5463,82.4023
0.60,0.1000,672,1343,58.7859,86.654
0.60,0.1250,701,1401,58.7061,87.531
0.60,0.1500,728,1455,58.9457,88.1411
0.60,0.1750,748,1495,59.1853,88.5796
0.60,0.2000,789,1577,59.1054,89.3613
0.60,0.2250,811,1621,59.1054,89.7617
0.60,0.2500,820,1639,59.0256,89.9333
0.60,0.2750,826,1651,59.0256,90.0477
0.60,0.3000,830,1659,59.1054,90.1239
0.60,0.3250,830,1659,59.1054,90.1239
0.60,0.3500,837,1673,59.1853,90.2383
0.60,0.3750,838,1675,59.2652,90.2574
0.60,0.4000,838,1675,59.2652,90.2574
0.60,0.4250,841,1681,59.1054,90.2955
0.60,0.4500,844,1687,59.0256,90.3337
0.60,0.4750,850,1699,59.1054,90.4099
0.60,0.5000,850,1699,59.1054,90.4099
0.65,0.0010,69,137,54.0735,60.7436
0.65,0.0250,328,655,58.2268,74.6425
0.65,0.0500,399,797,58.3067,77.2355
0.65,0.0750,531,1061,58.5463,82.4023
0.65,0.1000,672,1343,58.7859,86.654
0.65,0.1250,701,1401,58.7061,87.531
0.65,0.1500,728,1455,58.9457,88.1411
0.65,0.1750,748,1495,59.1853,88.5796
0.65,0.2000,789,1577,59.1054,89.3613
0.65,0.2250,811,1621,59.1054,89.7617
0.65,0.2500,820,1639,59.0256,89.9333
0.65,0.2750,826,1651,59.0256,90.0477
0.65,0.3000,830,1659,59.1054,90.1239
0.65,0.3250,830,1659,59.1054,90.1239
0.65,0.3500,837,1673,59.1853,90.2383
0.65,0.3750,838,1675,59.2652,90.2574
0.65,0.4000,838,1675,59.2652,90.2574
0.65,0.4250,841,1681,59.1054,90.2955
0.65,0.4500,844,1687,59.0256,90.3337
0.65,0.4750,850,1699,59.1054,90.4099
0.65,0.5000,850,1699,59.1054,90.4099
0.70,0.0010,69,137,54.0735,60.7436
0.70,0.0250,328,655,58.2268,74.6425
0.70,0.0500,399,797,58.3067,77.2355
0.70,0.0750,531,1061,58.5463,82.4023
0.70,0.1000,672,1343,58.7859,86.654
0.70,0.1250,701,1401,58.7061,87.531
0.70,0.1500,728,1455,58.9457,88.1411
0.70,0.1750,748,1495,59.1853,88.5796
0.70,0.2000,789,1577,59.1054,89.3613
0.70,0.2250,811,1621,59.1054,89.7617
0.70,0.2500,820,1639,59.0256,89.9333
0.70,0.2750,826,1651,59.0256,90.0477
0.70,0.3000,830,1659,59.1054,90.1239
0.70,0.3250,830,1659,59.1054,90.1239
0.70,0.3500,837,1673,59.1853,90.2383
0.70,0.3750,838,1675,59.2652,90.2574
0.70,0.4000,838,1675,59.2652,90.2574
0.70,0.4250,841,1681,59.1054,90.2955
0.70,0.4500,844,1687,59.0256,90.3337
0.70,0.4750,850,1699,59.1054,90.4099
0.70,0.5000,850,1699,59.1054,90.4099
0.75,0.0010,69,137,54.0735,60.7436
0.75,0.0250,328,655,58.2268,74.6425
0.75,0.0500,399,797,58.3067,77.2355
0.75,0.0750,531,1061,58.5463,82.4023
0.75,0.1000,672,1343,58.7859,86.654
0.75,0.1250,701,1401,58.7061,87.531
0.75,0.1500,728,1455,58.9457,88.1411
0.75,0.1750,748,1495,59.1853,88.5796
0.75,0.2000,789,1577,59.1054,89.3613
0.75,0.2250,811,1621,59.1054,89.7617
0.75,0.2500,820,1639,59.0256,89.9333
0.75,0.2750,826,1651,59.0256,90.0477
0.75,0.3000,830,1659,59.1054,90.1239
0.75,0.3250,830,1659,59.1054,90.1239
0.75,0.3500,837,1673,59.1853,90.2383
0.75,0.3750,838,1675,59.2652,90.2574
0.75,0.4000,838,1675,59.2652,90.2574
0.75,0.4250,841,1681,59.1054,90.2955
0.75,0.4500,844,1687,59.0256,90.3337
0.75,0.4750,850,1699,59.1054,90.4099
0.75,0.5000,850,1699,59.1054,90.4099
0.80,0.0010,69,137,54.0735,60.7436
0.80,0.0250,328,655,58.2268,74.6425
0.80,0.0500,399,797,58.3067,77.2355
0.80,0.0750,531,1061,58.5463,82.4023
0.80,0.1000,672,1343,58.7859,86.654
0.80,0.1250,701,1401,58.7061,87.531
0.80,0.1500,728,1455,58.9457,88.1411
0.80,0.1750,748,1495,59.1853,88.5796
0.80,0.2000,789,1577,59.1054,89.3613
0.80,0.2250,811,1621,59.1054,89.7617
0.80,0.2500,820,1639,59.0256,89.9333
0.80,0.2750,826,1651,59.0256,90.0477
0.80,0.3000,830,1659,59.1054,90.1239
0.80,0.3250,830,1659,59.1054,90.1239
0.80,0.3500,837,1673,59.1853,90.2383
0.80,0.3750,838,1675,59.2652,90.2574
0.80,0.4000,838,1675,59.2652,90.2574
0.80,0.4250,841,1681,59.1054,90.2955
0.80,0.4500,844,1687,59.0256,90.3337
0.80,0.4750,850,1699,59.1054,90.4099
0.80,0.5000,850,1699,59.1054,90.4099
0.85,0.0010,69,137,54.0735,60.7436
0.85,0.0250,328,655,58.2268,74.6425
0.85,0.0500,399,797,58.3067,77.2355
0.85,0.0750,531,1061,58.5463,82.4023
0.85,0.1000,672,1343,58.7859,86.654
0.85,0.1250,701,1401,58.7061,87.531
0.85,0.1500,728,1455,58.9457,88.1411
0.85,0.1750,748,1495,59.1853,88.5796
0.85,0.2000,789,1577,59.1054,89.3613
0.85,0.2250,811,1621,59.1054,89.7617
0.85,0.2500,820,1639,59.0256,89.9333
0.85,0.2750,826,1651,59.0256,90.0477
0.85,0.3000,830,1659,59.1054,90.1239
0.85,0.3250,830,1659,59.1054,90.1239
0.85,0.3500,837,1673,59.1853,90.2383
0.85,0.3750,838,1675,59.2652,90.2574
0.85,0.4000,838,1675,59.2652,90.2574
0.85,0.4250,841,1681,59.1054,90.2955
0.85,0.4500,844,1687,59.0256,90.3337
0.85,0.4750,850,1699,59.1054,90.4099
0.85,0.5000,850,1699,59.1054,90.4099
0.90,0.0010,69,137,54.0735,60.7436
0.90,0.0250,328,655,58.2268,74.6425
0.90,0.0500,399,797,58.3067,77.2355
0.90,0.0750,531,1061,58.5463,82.4023
0.90,0.1000,672,1343,58.7859,86.654
0.90,0.1250,701,1401,58.7061,87.531
0.90,0.1500,728,1455,58.9457,88.1411
0.90,0.1750,748,1495,59.1853,88.5796
0.90,0.2000,789,1577,59.1054,89.3613
0.90,0.2250,811,1621,59.1054,89.7617
0.90,0.2500,820,1639,59.0256,89.9333
0.90,0.2750,826,1651,59.0256,90.0477
0.90,0.3000,830,1659,59.1054,90.1239
0.90,0.3250,830,1659,59.1054,90.1239
0.90,0.3500,837,1673,59.1853,90.2383
0.90,0.3750,838,1675,59.2652,90.2574
0.90,0.4000,838,1675,59.2652,90.2574
0.90,0.4250,841,1681,59.1054,90.2955
0.90,0.4500,844,1687,59.0256,90.3337
0.90,0.4750,850,1699,59.1054,90.4099
0.90,0.5000,850,1699,59.1054,90.4099
0.95,0.0010,69,137,54.0735,60.7436
0.95,0.0250,328,655,58.2268,74.6425
0.95,0.0500,399,797,58.3067,77.2355
0.95,0.0750,531,1061,58.5463,82.4023
0.95,0.1000,672,1343,58.7859,86.654
0.95,0.1250,701,1401,58.7061,87.531
0.95,0.1500,728,1455,58.9457,88.1411
0.95,0.1750,748,1495,59.1853,88.5796
0.95,0.2000,789,1577,59.1054,89.3613
0.95,0.2250,811,1621,59.1054,89.7617
0.95,0.2500,820,1639,59.0256,89.9333
0.95,0.2750,826,1651,59.0256,90.0477
0.95,0.3000,830,1659,59.1054,90.1239
0.95,0.3250,830,1659,59.1054,90.1239
0.95,0.3500,837,1673,59.1853,90.2383
0.95,0.3750,838,1675,59.2652,90.2574
0.95,0.4000,838,1675,59.2652,90.2574
0.95,0.4250,841,1681,59.1054,90.2955
0.95,0.4500,844,1687,59.0256,90.3337
0.95,0.4750,850,1699,59.1054,90.4099
0.95,0.5000,850,1699,59.1054,90.4099
1.00,0.0010,49,97,54.3131,58.5891
1.00,0.0250,308,615,57.2684,72.7741
1.00,0.0500,465,929,57.6677,79.2755
1.00,0.0750,620,1239,57.2684,85.205
1.00,0.1000,648,1295,57.3482,86.0248
1.00,0.1250,670,1339,57.6677,86.5777
1.00,0.1500,693,1385,58.2268,87.1115
1.00,0.1750,749,1497,58.3866,88.3127
1.00,0.2000,786,1571,58.147,89.0181
1.00,0.2250,802,1603,58.3866,89.3232
1.00,0.2500,816,1631,58.3067,89.5901
1.00,0.2750,829,1657,58.3067,89.8189
1.00,0.3000,834,1667,58.3067,89.9142
1.00,0.3250,841,1681,58.2268,90.0477
1.00,0.3500,842,1683,58.2268,90.0667
1.00,0.3750,843,1685,58.2268,90.0858
1.00,0.4000,846,1691,58.3067,90.1239
1.00,0.4250,846,1691,58.3067,90.1239
1.00,0.4500,846,1691,58.3067,90.1239
1.00,0.4750,845,1689,58.3067,90.1049
1.00,0.5000,845,1689,58.3067,90.1049
1.05,0.0010,49,97,54.3131,58.5891
1.05,0.0250,308,615,57.2684,72.7741
1.05,0.0500,465,929,57.6677,79.2755
1.05,0.0750,620,1239,57.2684,85.205
1.05,0.1000,648,1295,57.3482,86.0248
1.05,0.1250,670,1339,57.6677,86.5777
1.05,0.1500,693,1385,58.2268,87.1115
1.05,0.1750,749,1497,58.3866,88.3127
1.05,0.2000,786,1571,58.147,89.0181
1.05,0.2250,802,1603,58.3866,89.3232
1.05,0.2500,816,1631,58.3067,89.5901
1.05,0.2750,829,1657,58.3067,89.8189
1.05,0.3000,834,1667,58.3067,89.9142
1.05,0.3250,841,1681,58.2268,90.0477
1.05,0.3500,842,1683,58.2268,90.0667
1.05,0.3750,843,1685,58.2268,90.0858
1.05,0.4000,846,1691,58.3067,90.1239
1.05,0.4250,846,1691,58.3067,90.1239
1.05,0.4500,846,1691,58.3067,90.1239
1.05,0.4750,845,1689,58.3067,90.1049
1.05,0.5000,845,1689,58.3067,90.1049
1.10,0.0010,49,97,54.3131,58.5891
1.10,0.0250,308,615,57.2684,72.7741
1.10,0.0500,465,929,57.6677,79.2755
1.10,0.0750,620,1239,57.2684,85.205
1.10,0.1000,648,1295,57.3482,86.0248
1.10,0.1250,670,1339,57.6677,86.5777
1.10,0.1500,693,1385,58.2268,87.1115
1.10,0.1750,749,1497,58.3866,88.3127
1.10,0.2000,786,1571,58.147,89.0181
1.10,0.2250,802,1603,58.3866,89.3232
1.10,0.2500,816,1631,58.3067,89.5901
1.10,0.2750,829,1657,58.3067,89.8189
1.10,0.3000,834,1667,58.3067,89.9142
1.10,0.3250,841,1681,58.2268,90.0477
1.10,0.3500,842,1683,58.2268,90.0667
1.10,0.3750,843,1685,58.2268,90.0858
1.10,0.4000,846,1691,58.3067,90.1239
1.10,0.4250,846,1691,58.3067,90.1239
1.10,0.4500,846,1691,58.3067,90.1239
1.10,0.4750,845,1689,58.3067,90.1049
1.10,0.5000,845,1689,58.3067,90.1049
1.15,0.0010,49,97,54.3131,58.5891
1.15,0.0250,308,615,57.2684,72.7741
1.15,0.0500,465,929,57.6677,79.2755
1.15,0.0750,620,1239,57.2684,85.205
1.15,0.1000,648,1295,57.3482,86.0248
1.15,0.1250,670,1339,57.6677,86.5777
1.15,0.1500,693,1385,58.2268,87.1115
1.15,0.1750,749,1497,58.3866,88.3127
1.15,0.2000,786,1571,58.147,89.0181
1.15,0.2250,802,1603,58.3866,89.3232
1.15,0.2500,816,1631,58.3067,89.5901
1.15,0.2750,829,1657,58.3067,89.8189
1.15,0.3000,834,1667,58.3067,89.9142
1.15,0.3250,841,1681,58.2268,90.0477
1.15,0.3500,842,1683,58.2268,90.0667
1.15,0.3750,843,1685,58.2268,90.0858
1.15,0.4000,846,1691,58.3067,90.1239
1.15,0.4250,846,1691,58.3067,90.1239
1.15,0.4500,846,1691,58.3067,90.1239
1.15,0.4750,845,1689,58.3067,90.1049
1.15,0.5000,845,1689,58.3067,90.1049
1.20,0.0010,49,97,54.3131,58.5891
1.20,0.0250,308,615,57.2684,72.7741
1.20,0.0500,465,929,57.6677,79.2755
1.20,0.0750,620,1239,57.2684,85.205
1.20,0.1000,648,1295,57.3482,86.0248
1.20,0.1250,670,1339,57.6677,86.5777
1.20,0.1500,693,1385,58.2268,87.1115
1.20,0.1750,749,1497,58.3866,88.3127
1.20,0.2000,786,1571,58.147,89.0181
1.20,0.2250,802,1603,58.3866,89.3232
1.20,0.2500,816,1631,58.3067,89.5901
1.20,0.2750,829,1657,58.3067,89.8189
1.20,0.3000,834,1667,58.3067,89.9142
1.20,0.3250,841,1681,58.2268,90.0477
1.20,0.3500,842,1683,58.2268,90.0667
1.20,0.3750,843,1685,58.2268,90.0858
1.20,0.4000,846,1691,58.3067,90.1239
1.20,0.4250,846,1691,58.3067,90.1239
1.20,0.4500,846,1691,58.3067,90.1239
1.20,0.4750,845,1689,58.3067,90.1049
1.20,0.5000,845,1689,58.3067,90.1049
1.25,0.0010,49,97,54.3131,58.5891
1.25,0.0250,308,615,57.2684,72.7741
1.25,0.0500,465,929,57.6677,79.2755
1.25,0.0750,620,1239,57.2684,85.205
1.25,0.1000,648,1295,57.3482,86.0248
1.25,0.1250,670,1339,57.6677,86.5777
1.25,0.1500,693,1385,58.2268,87.1115
1.25,0.1750,749,1497,58.3866,88.3127
1.25,0.2000,786,1571,58.147,89.0181
1.25,0.2250,802,1603,58.3866,89.3232
1.25,0.2500,816,1631,58.3067,89.5901
1.25,0.2750,829,1657,58.3067,89.8189
1.25,0.3000,834,1667,58.3067,89.9142
1.25,0.3250,841,1681,58.2268,90.0477
1.25,0.3500,842,1683,58.2268,90.0667
1.25,0.3750,843,1685,58.2268,90.0858
1.25,0.4000,846,1691,58.3067,90.1239
1.25,0.4250,846,1691,58.3067,90.1239
1.25,0.4500,846,1691,58.3067,90.1239
1.25,0.4750,845,1689,58.3067,90.1049
1.25,0.5000,845,1689,58.3067,90.1049
1.30,0.0010,49,97,54.3131,58.5891
1.30,0.0250,308,615,57.2684,72.7741
1.30,0.0500,465,929,57.6677,79.2755
1.30,0.0750,620,1239,57.2684,85.205
1.30,0.1000,648,1295,57.3482,86.0248
1.30,0.1250,670,1339,57.6677,86.5777
1.30,0.1500,693,1385,58.2268,87.1115
1.30,0.1750,749,1497,58.3866,88.3127
1.30,0.2000,786,1571,58.147,89.0181
1.30,0.2250,802,1603,58.3866,89.3232
1.30,0.2500,816,1631,58.3067,89.5901
1.30,0.2750,829,1657,58.3067,89.8189
1.30,0.3000,834,1667,58.3067,89.9142
1.30,0.3250,841,1681,58.2268,90.0477
1.30,0.3500,842,1683,58.2268,90.0667
1.30,0.3750,843,1685,58.2268,90.0858
1.30,0.4000,846,1691,58.3067,90.1239
1.30,0.4250,846,1691,58.3067,90.1239
1.30,0.4500,846,1691,58.3067,90.1239
1.30,0.4750,845,1689,58.3067,90.1049
1.30,0.5000,845,1689,58.3067,90.1049
1.35,0.0010,49,97,54.3131,58.5891
1.35,0.0250,308,615,57.2684,72.7741
1.35,0.0500,465,929,57.6677,79.2755
1.35,0.0750,620,1239,57.2684,85.205
1.35,0.1000,648,1295,57.3482,86.0248
1.35,0.1250,670,1339,57.6677,86.5777
1.35,0.1500,693,1385,58.2268,87.1115
1.35,0.1750,749,1497,58.3866,88.3127
1.35,0.2000,786,1571,58.147,89.0181
1.35,0.2250,802,1603,58.3866,89.3232
1.35,0.2500,816,1631,58.3067,89.5901
1.35,0.2750,829,1657,58.3067,89.8189
1.35,0.3000,834,1667,58.3067,89.9142
1.35,0.3250,841,1681,58.2268,90.0477
1.35,0.3500,842,1683,58.2268,90.0667
1.35,0.3750,843,1685,58.2268,90.0858
1.35,0.4000,846,1691,58.3067,90.1239
1.35,0.4250,846,1691,58.3067,90.1239
1.35,0.4500,846,1691,58.3067,90.1239
1.35,0.4750,845,1689,58.3067,90.1049
